date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_time_trend_3_fourier,yt_pred_mlp_8,yt_pred_mlp_30,yt_pred_stacked_mlp,yt_pred_d1d13_ar13,yt_pred_d1d12_mlp
1946-01-01,1095.0249999999996,1444.1986161805128,1197.3892389014322,890,1138.240263583137,,,,,
1946-02-01,1077.3934210526313,1417.7272045877332,1182.255800136193,992,1250.669280520085,,,,,
1946-03-01,1214.077631578947,1545.5715803337591,1321.1474334396992,979,1282.004688094217,,,,,
1946-04-01,1322.1302631578942,1644.7843762768816,1431.1167703908957,959,1425.215084314778,,,,,
1946-05-01,1385.0249999999996,1698.8392767431951,1495.6374952003127,1110,1564.7241622380222,,,,,
1946-06-01,1539.498684210526,1844.4731228817673,1651.4464499732103,1546,1531.931914667876,,,,,
1946-07-01,1929.7092105263157,2225.8438084213494,2042.701529446433,1539,2199.8856639478427,,,,,
1946-08-01,3034.498684210526,3321.793435276575,3148.244838883137,3401,2989.3103428884065,,,,,
1946-09-01,2284.7092105263155,2563.1641266766246,2398.918483546481,2092,2535.8518322346986,,,,,
1946-10-01,1815.656578947368,2085.2716571630012,1930.0382529101496,1436,1845.1812415880104,,,,,
1946-11-01,1636.1302631578944,1896.9055003584504,1750.393620658353,1301,1778.866749228921,,,,,
1946-12-01,1397.603947368421,1649.5393429107305,1511.4582710016173,1287,1539.9901752271942,,,,,
1947-01-01,1220.8175438596486,1464.404198859502,1362.5325221780945,1488,1302.4547672028743,,,,,
1947-02-01,1203.1859649122805,1438.914991556775,1344.9249807775243,1517,1412.4301273552337,1260.8287581197685,1161.908747171258,1288.076259531668,,
1947-03-01,1339.870175438596,1567.7415715928537,1481.3748133795812,1707,1441.343989132744,1360.0203665067072,1224.595629831644,1172.2996518486043,,
1947-04-01,1447.9228070175434,1667.9365718260287,1588.9346515632108,1729,1582.16495054465,1434.9276830258295,1163.7599823582923,1202.4958701175594,,
1947-05-01,1510.8175438596486,1722.9736765823943,1651.0781795389432,1788,1719.3167046472054,1488.115979613748,1617.4017370054837,1127.4348991958095,,
1947-06-01,1665.291228070175,1869.5897270110197,1804.542239412038,2008,1684.1992442443377,1665.903380475544,1795.6152562820114,1746.01242672895,,
1947-07-01,2055.5017543859644,2251.942616840654,2193.48472591934,2203,2349.8598916795486,1959.1560238786856,2195.368262228041,1932.9284088667432,,
1947-08-01,3160.291228070175,3348.8744479859324,3296.747744324006,3713,3137.0235797633245,2746.777458137372,2564.826643724735,2804.3869410494376,,
1947-09-01,2410.5017543859644,2591.2273436760343,2545.1733998891937,2946,2681.3361892407947,2630.703128844552,2533.3512617743886,2593.17898483873,,
1947-10-01,1941.4491228070171,2114.3170784524636,2074.077482088588,2082,1988.468829713251,2093.5975277327284,2028.963260253768,2120.062728799106,,
